Analyte.Pathway,Outcome,Study,Analyte.Type,Paper
3-Mar,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536
1-docosapentaenoylglycerophosphocholine (22:5),Asthma case/control,"Project Viva (Massachusetts), VDAART",Metabolite,29808611
1-methylnicotinamide,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896
2-hydroxyglutarate,BDR,"CAMP, GACRS",Metabolite,31500319
3-Hydroxyisobutyric acid,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896
"3-Methyl-2-oxovaleric acid	","Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896
3-Phenylpropionate,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896
"5,6-dihydrothymine",Asthma case/control,"Project Viva (Massachusetts), VDAART",Metabolite,29808611
Acetic acid,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896
ACTIVATION OF THE API FAMILY OF TRANSCRIPTION FACTORS,"Self-reported asthma control (optimal, suboptimal)",BRIDGE,Pathway,25586491
Activation of TRKA receptors,"Self-reported asthma control (optimal, suboptimal)",BRIDGE,Pathway,25586491
ADAM18,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536
adaptive immune system,Lung function,"CAMP, GACRS",Pathway,29908154
ADCY2,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536
ADRB2,Lung function; BDR,Various,Gene,31494234; 31004501
AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL,"Self-reported asthma control (optimal, suboptimal)",BRIDGE,Pathway,25586491
ALOX5,Leukotriene modifier response,Various,Gene,31494234; 31004501
Amino acid metabolism,Lung function,"CAMP, GACRS",Pathway,29908154
Amino acids,Asthma case/control,VDAART,Metabolite class,30360515
ANKRD55,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536
ANXA1,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536
ARG1,Beta-agonist response,CAMP,Gene,23336093
ATPBD4,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536
