"Pathway, Gene Set, or Metabolite Class",Matching Analyte/Pathway
nicotinamide nucleotide biosynthetic process,1-methylnicotinamide
NAD biosynthesis via nicotinamide riboside salvage pathway,1-methylnicotinamide
response to nicotine,1-methylnicotinamide
Nicotinamide salvaging,1-methylnicotinamide
nicotinamide nucleotide metabolic process,1-methylnicotinamide; Nicotinate and Nicotinamide Metabolism
Nicotinate and nicotinamide metabolism,1-methylnicotinamide; Nicotinate and Nicotinamide Metabolism
Hydroxy acids and derivatives,2-hydroxyglutarate; 3-Hydroxyisobutyric acid
Phenylpropanoic acids,3-Phenylpropionate
Activation of TRKA receptors,Activation of TRKA receptors
NGF-independant TRKA activation,Activation of TRKA receptors
Adaptive Immune System,adaptive immune system
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,adaptive immune system; immune response
negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,adaptive immune system; immune response
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,adaptive immune system; immune response
negative regulation of adaptive immune response,adaptive immune system; immune response
regulation of adaptive immune response,adaptive immune system; immune response
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,adaptive immune system; immune response
positive regulation of adaptive immune response,adaptive immune system; immune response
SARS-CoV-2 activates/modulates innate and adaptive immune responses,adaptive immune system; immune response
AKT phosphorylates targets in the cytosol,AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL
aromatic amino acid family catabolic process,Amino acids
modified amino acid transport,Amino acids
sulfur amino acid biosynthetic process,Amino acids
aspartate family amino acid biosynthetic process,Amino acids
alpha-amino acid biosynthetic process,Amino acids
cellular amino acid catabolic process,Amino acids
L-amino acid transport,Amino acids
cellular amino acid biosynthetic process,Amino acids
amino acid activation,Amino acids
regulation of amino acid transport,Amino acids
branched-chain amino acid transport,Amino acids
alpha-amino acid metabolic process,Amino acids
neutral amino acid transport,Amino acids
basic amino acid transmembrane transport,Amino acids
alpha-amino acid catabolic process,Amino acids
regulation of amino acid import across plasma membrane,Amino acids
regulation of amino acid transmembrane transport,Amino acids
branched-chain amino acid catabolic process,Amino acids
amino acid transport,Amino acids
positive regulation of amino acid transport,Amino acids
response to amino acid,Amino acids
N-terminal protein amino acid modification,Amino acids
L-alpha-amino acid transmembrane transport,Amino acids
cellular response to amino acid stimulus,Amino acids
amino acid transmembrane transport,Amino acids
amino acid import across plasma membrane,Amino acids
acidic amino acid transport,Amino acids
internal protein amino acid acetylation,Amino acids
cellular modified amino acid biosynthetic process,Amino acids
C-terminal protein amino acid modification,Amino acids
cellular response to amino acid starvation,Amino acids
response to amino acid starvation,Amino acids
serine family amino acid biosynthetic process,Amino acids
cellular modified amino acid catabolic process,Amino acids
serine family amino acid catabolic process,Amino acids
aromatic amino acid transport,Amino acids
negative regulation of amino acid transport,Amino acids
aspartate family amino acid catabolic process,Amino acids
sulfur amino acid catabolic process,Amino acids
amino acid neurotransmitter reuptake,Amino acids
N-terminal protein amino acid acetylation,Amino acids
Biosynthesis of amino acids,Amino acids
Transport of inorganic cations/anions and amino acids/oligopeptides,Amino acids
Amino acid conjugation of benzoic acid,Amino acids
Response of EIF2AK4 (GCN2) to amino acid deficiency,Amino acids
Amino acid transport across the plasma membrane,Amino acids
Branched-chain amino acid catabolism,Amino acids
Amino acids regulate mTORC1,Amino acids
Amino acid conjugation,Amino acids
cellular amino acid metabolic process,Amino acids; Amino acid metabolism
aspartate family amino acid metabolic process,Amino acids; Amino acid metabolism
aromatic amino acid family metabolic process,Amino acids; Amino acid metabolism
sulfur amino acid metabolic process,Amino acids; Amino acid metabolism
cellular modified amino acid metabolic process,Amino acids; Amino acid metabolism
branched-chain amino acid metabolic process,Amino acids; Amino acid metabolism
regulation of cellular amino acid metabolic process,Amino acids; Amino acid metabolism
serine family amino acid metabolic process,Amino acids; Amino acid metabolism
Selenoamino acid metabolism,Amino acids; Amino acid metabolism
Amino acid metabolism,Amino acids; Amino acid metabolism
Sulfur amino acid metabolism,Amino acids; Amino acid metabolism
Amino acid metabolism in triple-negative breast cancer cells,Amino acids; Amino acid metabolism
Cyanoamino acid metabolism,Amino acids; Amino acid metabolism
glutamine family amino acid metabolic process,Amino acids; Amino acid metabolism; Glutamine
Amino acid metabolism pathway excerpt: histidine catabolism extension,Amino acids; Amino acid metabolism; histidine
glutamine family amino acid biosynthetic process,Amino acids; Glutamine
glutamine family amino acid catabolic process,Amino acids; Glutamine
Methionine metabolism leading to sulfur amino acids and related disorders,Amino acids; methionine
bile acid secretion,bile acids; Bile Constituents
bile acid and bile salt transport,bile acids; Bile Constituents
bile acid metabolic process,bile acids; Bile Constituents
bile acid biosynthetic process,bile acids; Bile Constituents
bile acid signaling pathway,bile acids; Bile Constituents
regulation of bile acid metabolic process,bile acids; Bile Constituents
regulation of bile acid biosynthetic process,bile acids; Bile Constituents
Primary bile acid biosynthesis,bile acids; Bile Constituents
Synthesis of bile acids and bile salts,bile acids; Bile Constituents
Bile acid and bile salt metabolism,bile acids; Bile Constituents
Recycling of bile acids and salts,bile acids; Bile Constituents
Drug induction of bile acid pathway,bile acids; Bile Constituents
NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis,bile acids; Bile Constituents
Bile acids synthesis and enterohepatic circulation,bile acids; Bile Constituents
Disorders of bile acid synthesis and biliary transport,bile acids; Bile Constituents
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,bile acids; Bile Constituents; Sterols
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,bile acids; Bile Constituents; Sterols
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,bile acids; Bile Constituents; Sterols
phospholipid translocation,Bile Constituents
phospholipid transport,Bile Constituents
phospholipid dephosphorylation,Bile Constituents
positive regulation of phospholipid transport,Bile Constituents
regulation of phospholipid transport,Bile Constituents
phospholipid catabolic process,Bile Constituents
plasma membrane phospholipid scrambling,Bile Constituents
phospholipid biosynthetic process,Bile Constituents
regulation of phospholipid biosynthetic process,Bile Constituents
phospholipid efflux,Bile Constituents
phospholipid homeostasis,Bile Constituents
Phospholipid Biosynthesis,Bile Constituents
"Transport of bile salts and organic acids, metal ions and amine compounds",Bile Constituents
Role of phospholipids in phagocytosis,Bile Constituents
phospholipid metabolic process,Bile Constituents; Lipid metabolism
positive regulation of phospholipid metabolic process,Bile Constituents; Lipid metabolism
regulation of phospholipid metabolic process,Bile Constituents; Lipid metabolism
Phospholipid metabolism,Bile Constituents; Lipid metabolism
regulation of intracellular cholesterol transport,Bile Constituents; Sterols
cellular response to cholesterol,Bile Constituents; Sterols
cholesterol biosynthetic process,Bile Constituents; Sterols
response to cholesterol,Bile Constituents; Sterols
intracellular cholesterol transport,Bile Constituents; Sterols
regulation of cholesterol transport,Bile Constituents; Sterols
cholesterol metabolic process,Bile Constituents; Sterols
positive regulation of cholesterol transport,Bile Constituents; Sterols
regulation of cholesterol metabolic process,Bile Constituents; Sterols
cholesterol transport,Bile Constituents; Sterols
cholesterol homeostasis,Bile Constituents; Sterols
positive regulation of cholesterol efflux,Bile Constituents; Sterols
regulation of cholesterol efflux,Bile Constituents; Sterols
