id,name,GENN_adjpval,GNN_adjpval,RF_adjpval,GroupLASSO_adjpval,LASSO_adjpval
WP4853,Linoleic acid metabolism affected by SARS-CoV-2,0.002980968,NA,NA,NA,NA
WP4494,Selective expression of chemokine receptors during T-cell polarization,0.006685654,1,NA,NA,NA
WP4195,Phosphatidylcholine catabolism,0.011278,NA,NA,NA,NA
WP1935,"Transport of bile salts and organic acids, metal ions and amine compounds",0.021824952,NA,1,NA,NA
WP167,Eicosanoid synthesis,0.044412069,1,NA,NA,NA
WP4586,Metabolism of alpha-linolenic acid,0.056283698,NA,NA,NA,NA
WP2533,Glycerophospholipid biosynthetic pathway,0.088162868,1,NA,NA,NA
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",0.096976826,NA,1,NA,NA
WP5195,Disorders in ketolysis,0.158898681,NA,NA,NA,NA
map00564,Phospholipid Biosynthesis,0.202208987,1,NA,NA,NA
WP2740,Glycerophospholipid biosynthesis,0.265783608,1,NA,NA,NA
R-HSA-433692,Proton-coupled monocarboxylate transport,0.278012452,NA,NA,NA,NA
R-HSA-5619070,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT),0.278012452,NA,NA,NA,NA
R-HSA-1483191,Synthesis of PC,0.288710916,NA,NA,NA,NA
map00592,alpha-Linolenic acid metabolism,0.298423197,NA,NA,NA,NA
WP4742,Ketogenesis and ketolysis,0.309204203,NA,NA,NA,NA
WP15,Selenium micronutrient network,0.352508501,NA,NA,NA,NA
R-HSA-1483206,Glycerophospholipid biosynthesis,0.396235972,1,NA,NA,NA
WP5175,Disorders in ketone body synthesis,0.436375942,NA,NA,NA,NA
R-HSA-77108,Utilization of Ketone Bodies,0.588562964,NA,NA,NA,NA
WP4723,Omega-3 / omega-6 fatty acid synthesis,0.812057359,NA,NA,NA,NA
WP2719,Fcgamma receptor (FCGR) dependent phagocytosis,0.848811913,NA,NA,NA,NA
map04920,Adipocytokine signaling pathway,0.861576142,NA,NA,NA,NA
WP3657,Hematopoietic stem cell gene regulation by GABP alpha/beta complex,0.861576142,NA,NA,NA,NA
map04140,Autophagy - animal,0.932145744,NA,NA,NA,NA
R-HSA-9614085,FOXO-mediated transcription,1,1,1,NA,NA
WP536,Calcium regulation in cardiac cells,1,1,1,NA,NA
R-HSA-5628897,TP53 Regulates Metabolic Genes,1,NA,1,NA,NA
WP3349,TP53 Regulates Metabolic Genes,1,NA,1,NA,NA
WP45,G1 to S cell cycle control,1,NA,1,NA,NA
map05165,Human papillomavirus infection,1,0.896545383,NA,NA,NA
map00030,Pentose phosphate pathway,1,1,NA,NA,NA
map00531,Glycosaminoglycan degradation,1,1,NA,NA,NA
map00590,Arachidonic Acid Metabolism,1,1,NA,NA,NA
map00620,Pyruvate metabolism,1,1,NA,NA,NA
map00640,Propanoate metabolism,1,1,NA,NA,NA
map04151,PI3K-Akt signaling pathway,1,1,NA,NA,NA
map04217,Necroptosis,1,1,NA,NA,NA
map04620,Toll-like receptor signaling pathway,1,1,NA,NA,NA
map04622,RIG-I-like receptor signaling pathway,1,1,NA,NA,NA
map04630,JAK-STAT signaling pathway,1,1,NA,NA,NA
map04910,Insulin signaling pathway,1,1,NA,NA,NA
map05160,Hepatitis C,1,1,NA,NA,NA
map05161,Hepatitis B,1,1,NA,NA,NA
map05162,Measles,1,1,NA,NA,NA
map05164,Influenza A,1,1,NA,NA,NA
map05167,Kaposi sarcoma-associated herpesvirus infection,1,1,NA,NA,NA
map05168,Herpes simplex virus 1 infection,1,1,NA,NA,NA
map05169,Epstein-Barr virus infection,1,1,NA,NA,NA
R-HSA-109606,Intrinsic Pathway for Apoptosis,1,1,NA,NA,NA
R-HSA-114608,Platelet degranulation,1,1,NA,NA,NA
R-HSA-1474165,Reproduction,1,1,NA,NA,NA
R-HSA-1474228,Degradation of the extracellular matrix,1,1,NA,NA,NA
R-HSA-1474290,Collagen formation,1,1,NA,NA,NA
R-HSA-1482801,Acyl chain remodelling of PS,1,1,NA,NA,NA
R-HSA-1500931,Cell-Cell communication,1,1,NA,NA,NA
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,1,NA,NA,NA
R-HSA-156842,Eukaryotic Translation Elongation,1,1,NA,NA,NA
R-HSA-156902,Peptide chain elongation,1,1,NA,NA,NA
R-HSA-162909,Host Interactions of HIV factors,1,1,NA,NA,NA
R-HSA-1630316,Glycosaminoglycan metabolism,1,1,NA,NA,NA
R-HSA-163685,Integration of energy metabolism,1,1,NA,NA,NA
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,1,1,NA,NA,NA
R-HSA-1660662,Glycosphingolipid metabolism,1,1,NA,NA,NA
R-HSA-168273,Influenza Viral RNA Transcription and Replication,1,1,NA,NA,NA
R-HSA-170834,Signaling by TGF-beta Receptor Complex,1,1,NA,NA,NA
R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,1,1,NA,NA,NA
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,1,1,NA,NA,NA
R-HSA-186797,Signaling by PDGF,1,1,NA,NA,NA
R-HSA-192823,Viral mRNA Translation,1,1,NA,NA,NA
R-HSA-196849,Metabolism of water-soluble vitamins and cofactors,1,1,NA,NA,NA
R-HSA-199418,Negative regulation of the PI3K/AKT network,1,1,NA,NA,NA
R-HSA-211000,Gene Silencing by RNA,1,1,NA,NA,NA
R-HSA-211897,Cytochrome P450 - arranged by substrate type,1,1,NA,NA,NA
R-HSA-211945,Phase I - Functionalization of compounds,1,1,NA,NA,NA
R-HSA-2142688,Synthesis of 5-eicosatetraenoic acids,1,1,NA,NA,NA
R-HSA-2142753,Arachidonic acid metabolism,1,1,NA,NA,NA
R-HSA-2142845,Hyaluronan metabolism,1,1,NA,NA,NA
R-HSA-2160916,Hyaluronan uptake and degradation,1,1,NA,NA,NA
R-HSA-2162123,Synthesis of Prostaglandins (PG) and Thromboxanes (TX),1,1,NA,NA,NA
R-HSA-2219528,PI3K/AKT Signaling in Cancer,1,1,NA,NA,NA
R-HSA-2219530,Constitutive Signaling by Aberrant PI3K in Cancer,1,1,NA,NA,NA
R-HSA-2408522,Selenoamino acid metabolism,1,1,NA,NA,NA
R-HSA-2408557,Selenocysteine synthesis,1,1,NA,NA,NA
R-HSA-2500257,Resolution of Sister Chromatid Cohesion,1,1,NA,NA,NA
R-HSA-380108,Chemokine receptors bind chemokines,1,1,NA,NA,NA
R-HSA-397795,G-protein beta:gamma signalling,1,1,NA,NA,NA
R-HSA-425393,Transport of inorganic cations/anions and amino acids/oligopeptides,1,1,NA,NA,NA
R-HSA-428157,Sphingolipid metabolism,1,1,NA,NA,NA
R-HSA-453279,Mitotic G1 phase and G1/S transition,1,1,NA,NA,NA
R-HSA-6809371,Formation of the cornified envelope,1,1,NA,NA,NA
R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",1,1,NA,NA,NA
R-HSA-69206,G1/S Transition,1,1,NA,NA,NA
R-HSA-70171,Glycolysis,1,1,NA,NA,NA
R-HSA-70326,Glucose metabolism,1,1,NA,NA,NA
R-HSA-72649,Translation initiation complex formation,1,1,NA,NA,NA
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1,1,NA,NA,NA
R-HSA-72689,Formation of a pool of free 40S subunits,1,1,NA,NA,NA
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",1,1,NA,NA,NA
R-HSA-72702,Ribosomal scanning and start codon recognition,1,1,NA,NA,NA
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,1,NA,NA,NA
R-HSA-72764,Eukaryotic Translation Termination,1,1,NA,NA,NA
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,1,1,NA,NA,NA
R-HSA-9006936,Signaling by TGFB family members,1,1,NA,NA,NA
R-HSA-9018519,Estrogen-dependent gene expression,1,1,NA,NA,NA
R-HSA-909733,Interferon alpha/beta signaling,1,1,NA,NA,NA
R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",1,1,NA,NA,NA
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,1,1,NA,NA,NA
R-HSA-9692914,SARS-CoV-1-host interactions,1,1,NA,NA,NA
R-HSA-9705671,SARS-CoV-2 activates/modulates innate and adaptive immune responses,1,1,NA,NA,NA
R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,1,1,NA,NA,NA
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,1,1,NA,NA,NA
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1,1,NA,NA,NA
WP107,Translation factors,1,1,NA,NA,NA
WP1403,AMP-activated protein kinase signaling,1,1,NA,NA,NA
WP179,Cell cycle,1,1,NA,NA,NA
WP1811,Eukaryotic translation elongation,1,1,NA,NA,NA
WP1812,Eukaryotic translation initiation,1,1,NA,NA,NA
WP1813,Eukaryotic translation termination,1,1,NA,NA,NA
WP1815,Factors involved in megakaryocyte development and platelet production,1,1,NA,NA,NA
WP1831,Integration of energy metabolism,1,1,NA,NA,NA
WP1841,Intrinsic Pathway for Apoptosis,1,1,NA,NA,NA
WP1858,Mitotic G1 phase and G1/S transition,1,1,NA,NA,NA
WP1903,Response to elevated platelet cytosolic Ca ions,1,1,NA,NA,NA
WP1917,Signaling by Rho GTPases,1,1,NA,NA,NA
WP2034,Leptin signaling pathway,1,1,NA,NA,NA
WP2064,Neural crest differentiation,1,1,NA,NA,NA
WP2328,Allograft rejection,1,1,NA,NA,NA
WP236,Adipogenesis,1,1,NA,NA,NA
WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,1,1,NA,NA,NA
WP24,Peptide GPCRs,1,1,NA,NA,NA
WP2446,Retinoblastoma gene in cancer,1,1,NA,NA,NA
