"","GENN.freq","GNN.SigProp.freq"
"A1BG.AS1__cysteine",2,0
"A4GNT__L.alpha.glycerophosphorylcholine",1,0
"AA06__X.4238",0,1
"AADAC__porphobilinogen",16,0
"AAK1__gamma.glu.cys",1,0
"AASS__uracil",1,0
"AATK__porphobilinogen",1,0
"ABAT__porphobilinogen",2,0
"ABCA4__porphobilinogen",13,0
"ABCA4__quinolinic.acid",1,0
"ABCA7__porphobilinogen",1,0
"ABCB11__tetradecanoic.acid",1,0
"ABCB9__malic.acid",1,0
"ABCC10__porphobilinogen",12,0
"ABCC5__N.5...aminocarbonyl..L.ornithine",1,0
"ABCC6__gamma.glu.cys",2,0
"ABCC6P1__succinate",1,0
"ABCC6P2__gamma.glu.cys",1,0
"ABCD2__adenine",2,0
"ABCD2__anthranilic.acid",18,0
"ABCD2__asparagine",14,0
"ABCD2__beta.alanine",16,0
"ABCD2__caffeine",27,0
"ABCD2__cholesterol",16,0
"ABCD2__citric.acid",5,0
"ABCD2__cytidine",1,0
"ABCD2__glyceraldehyde",16,0
"ABCD2__glyceric.acid",11,0
"ABCD2__glycerol",5,0
"ABCD2__guanosine",14,0
"ABCD2__guanosine.5...monophosphate",16,0
"ABCD2__histidine",2,0
"ABCD2__hypotaurine",15,0
"ABCD2__inosine",19,0
"ABCD2__inositol.1.phosphate",15,0
"ABCD2__isoleucine",3,0
"ABCD2__leucine",16,0
"ABCD2__methionine",16,0
"ABCD2__n.hexadecanoic.acid",17,0
"ABCD2__ornithine",5,0
"ABCD2__phenylalanine",18,0
"ABCD2__phosphate",1,0
"ABCD2__serine",17,0
"ABCD2__taurine",16,0
"ABCD2__tetradecanoic.acid",12,0
"ABCD2__trans.4.hydroxyproline",16,0
"ABCD2__tryptophan",1,0
"ABCD2__tyramine",18,0
"ABCD2__tyrosine",17,0
"ABCD2__valine",17,0
"ABCD2__X4.Guanidinobutanoic.acid",3,0
"ABCD2__xanthine",20,0
"ABCD3__L.alpha.glycerophosphorylcholine",1,0
"ABCG4__porphobilinogen",1,0
"ABCG8__porphobilinogen",5,0
"ABHD10__gamma.glu.cys",1,0
"ABHD17B__X.p.Hydroxyphenyl.lactic.acid",1,0
"ABHD3__guanosine",1,0
"ABHD4__L.alpha.glycerophosphorylcholine",2,0
"ABI1__porphobilinogen",12,0
"ABTB1__gamma.glu.cys",1,0
"ACAD8__porphobilinogen",3,0
"ACAD9__L.alpha.glycerophosphorylcholine",1,0
"ACAP2__porphobilinogen",1,0
"ACAT1__L.alpha.glycerophosphorylcholine",1,0
"ACBD4__glutamine",1,0
"ACBD4__sn.Glycerol.3.phosphate",1,0
"ACBD6__uracil",1,0
"ACIN1__L.alpha.glycerophosphorylcholine",2,0
"ACO2__porphobilinogen",1,0
"ACOT6__porphobilinogen",6,0
"ACOT7__tyrosine",1,0
"ACOT8__porphobilinogen",1,0
"ACOX1__creatinine",9,0
"ACP2__citric.acid",0,1
"ACP5__X2..deoxyuridine.5..triphosphate",0,1
"ACPT__porphobilinogen",8,0
"ACRV1__caffeine",5,0
"ACSBG2__porphobilinogen",5,0
"ACSF3__creatinine",3,0
"ACSL4__creatinine",1,0
"ACSM1__X.3955",0,1
"ACSM5__sn.Glycerol.3.phosphate",2,0
"ACSS1__porphobilinogen",1,0
"ACTA1__succinate",1,0
"ACTL6A__S.adenosyl.l.homocysteine",1,0
"ACTL8__glutamine",1,0
"ACTL8__phosphoenolpyruvate",1,0
"ACVR1B__guanosine",1,0
"ACVR1B__inosine",1,0
"ACVR2A__Kynurenic.acid",2,0
"ACVR2B.AS1__cysteine",1,0
"ACY1__citric.acid",1,0
"ACYP2__porphobilinogen",2,0
"ADAM11__X2..deoxyuridine.5..triphosphate",0,2
"ADAM18__porphobilinogen",8,0
"ADAM19__tyrosine",1,0
"ADAM21__uracil",2,0
"ADAM30__porphobilinogen",2,0
"ADAM33__tetradecanoic.acid",1,0
"ADAMTS10__X2..deoxyuridine.5..triphosphate",0,1
"ADAMTS12__porphobilinogen",1,0
"ADAMTS14__gamma.glu.cys",2,0
"ADAMTS16__porphobilinogen",2,0
"ADAMTS5__Kynurenic.acid",1,0
"ADAMTSL2__hypoxanthine",19,0
"ADAMTSL3__sn.Glycerol.3.phosphate",1,0
"ADAMTSL4__gamma.glu.cys",1,0
"ADAMTSL4__gamma.L.glutamyl.L.glutamine",1,0
"ADAMTSL4__Kynurenic.acid",7,0
"ADCK3__porphobilinogen",1,0
"ADGRA1__X.4238",0,1
"ADGRE3__L.alpha.glycerophosphorylcholine",5,0
"ADGRF1__porphobilinogen",1,0
"ADGRG3__sorbitol",2,0
"ADGRL1__Kynurenic.acid",2,0
"ADGRL2__porphobilinogen",4,0
"ADM__porphobilinogen",1,0
"ADRA2B__uracil",1,0
"ADRA2C__X.4238",0,1
"ADRBK2__gamma.glu.cys",2,0
"AFAP1__X.4238",0,1
"AFF3__sn.Glycerol.3.phosphate",1,0
"AGAP2__oxitryptan",8,0
"AGAP2__sn.Glycerol.3.phosphate",11,0
"AGBL2__porphobilinogen",12,0
"AGBL5__X.p.Hydroxyphenyl.lactic.acid",1,0
"AGFG2__porphobilinogen",1,0
"AGPAT3__gamma.glu.cys",1,0
"AGRP__tyrosine",1,0
"AGXT__porphobilinogen",1,0
"AHCTF1__porphobilinogen",1,0
"AHCYL1__caffeine",3,0
"AHCYL2__porphobilinogen",1,0
"AIF1__guanosine",1,0
"AIM1L__citric.acid",1,0
"AIP__L.alpha.glycerophosphorylcholine",2,0
"AJAP1__creatinine",1,0
"AJUBA__sn.Glycerol.3.phosphate",8,0
"AK4__porphobilinogen",1,0
"AKAP10__citric.acid",1,0
"AKAP10__gamma.L.glutamyl.L.glutamine",1,0
"AKAP9__porphobilinogen",6,0
"AKR1C3__porphobilinogen",1,0
"AKR1C4__X2..deoxyuridine.5..triphosphate",0,1
"AKR1D1__L.alpha.glycerophosphorylcholine",1,0
"ALAD__porphobilinogen",4,0
"ALAD__X.4238",0,1
"ALDH1A1__cysteine",1,0
"ALDH1A2__tyrosine",1,0
"ALDH3A1__porphobilinogen",1,0
"ALDH3A2__cysteine",1,0
"ALDH8A1__cysteine",1,0
"ALDH9A1__porphobilinogen",1,0
"ALKBH7__Kynurenic.acid",2,0
"ALOX12__Kynurenic.acid",6,0
"ALOX12B__N.5...aminocarbonyl..L.ornithine",1,0
"ALOX12B__sn.Glycerol.3.phosphate",1,0
"ALOX15__tetradecanoic.acid",1,0
"ALOX5__porphobilinogen",1,0
"ALPK3__gamma.glu.cys",1,0
"ALS2CL__cysteine",1,0
"ALS2CR12__porphobilinogen",8,0
"AMBN__L.alpha.glycerophosphorylcholine",1,0
"AMD1__porphobilinogen",1,0
"AMER2__gamma.glu.cys",1,0
"AMER3__porphobilinogen",1,0
"AMER3__succinate",1,0
"AMIGO1__n.dodecanoate",2,0
"AMOT__X.4271",0,1
"ANAPC11__porphobilinogen",1,0
"ANAPC4__gamma.glu.cys",1,0
"ANGPTL1__porphobilinogen",3,0
"ANGPTL1__S.adenosyl.l.homocysteine",1,0
"ANKDD1A__porphobilinogen",1,0
"ANKFN1__Kynurenic.acid",2,0
"ANKH__sn.Glycerol.3.phosphate",1,0
"ANKRA2__porphobilinogen",11,0
"ANKRD1__caffeine",1,0
"ANKRD13B__L.alpha.glycerophosphorylcholine",3,0
"ANKRD13B__sn.Glycerol.3.phosphate",1,0
"ANKRD18B__gamma.glu.cys",1,0
"ANKRD20A11P__succinate",1,0
"ANKRD26__X.4238",0,1
"ANKRD29__guanine",1,0
"ANKRD34C__L.alpha.glycerophosphorylcholine",2,0
"ANKRD34C__porphobilinogen",7,0
"ANKRD53__guanine",1,0
"ANKS1A__X.4013",0,1
"ANKS4B__cysteine",1,0
"ANKS6__tyrosine",1,0
"ANKZF1__porphobilinogen",6,0
"ANO2__guanosine",1,0
"ANO2__L.alpha.glycerophosphorylcholine",1,0
"ANO3__sn.Glycerol.3.phosphate",3,0
"ANO5__guanosine",1,0
"ANP32A.IT1__L.alpha.glycerophosphorylcholine",2,0
"ANTXR1__sn.Glycerol.3.phosphate",1,0
"ANXA10__porphobilinogen",1,0
"ANXA13__cysteine",2,0
"ANXA2__Kynurenic.acid",1,0
"ANXA2P2__X2..deoxyuridine.5..triphosphate",0,2
"ANXA4__X2..deoxyuridine.5..triphosphate",0,1
"AOC3__guanine",1,0
"AOX1__tetradecanoic.acid",1,0
"AP2B1__uracil",1,0
"AP3D1__porphobilinogen",4,0
"AP4M1__porphobilinogen",2,0
"AP4M1__quinolinic.acid",2,0
"AP5B1__porphobilinogen",9,0
"APBA2__porphobilinogen",1,0
"APC__porphobilinogen",1,0
"APLF__X5.oxoproline",2,0
"APLNR__Kynurenic.acid",1,0
"APOBEC3C__X.p.Hydroxyphenyl.lactic.acid",2,0
"APOBR__L.alpha.glycerophosphorylcholine",1,0
"APOE__cysteine",1,0
"APOL1__guanine",1,0
"APOL4__porphobilinogen",1,0
"APOOL__porphobilinogen",2,0
"APP__cysteine",3,0
"APRT__succinate",1,0
"AQP3__X.p.Hydroxyphenyl.lactic.acid",1,0
"AQP9__gamma.glu.cys",1,0
"AQP9__porphobilinogen",1,0
"AR__porphobilinogen",7,0
"ARCN1__porphobilinogen",14,0
"ARF3__sn.Glycerol.3.phosphate",2,0
"ARF5__porphobilinogen",7,0
"ARFGEF1__porphobilinogen",1,0
"ARFGEF3__porphobilinogen",9,0
"ARG1__cysteine",1,0
"ARHGAP10__inositol.1.phosphate",1,0
"ARHGAP22__gamma.glu.cys",1,0
"ARHGAP23__gamma.glu.cys",1,0
"ARHGAP25__X.3893",0,1
"ARHGAP33__porphobilinogen",1,0
"ARHGAP4__L.alpha.glycerophosphorylcholine",1,0
"ARHGEF10__gamma.glu.cys",1,0
"ARHGEF15__porphobilinogen",2,0
"ARHGEF17__L.alpha.glycerophosphorylcholine",1,0
"ARHGEF18__creatinine",4,0
"ARHGEF18__porphobilinogen",4,0
"ARHGEF3__gamma.L.glutamyl.L.glutamine",2,0
"ARHGEF4__porphobilinogen",1,0
"ARID1B__porphobilinogen",6,0
"ARID3B__hypoxanthine",2,0
"ARID3B__L.alpha.glycerophosphorylcholine",2,0
"ARID3B__uracil",1,0
"ARL9__porphobilinogen",1,0
"ARMCX2__L.alpha.glycerophosphorylcholine",1,0
"ARMCX3__L.alpha.glycerophosphorylcholine",4,0
"ARMCX5__Kynurenic.acid",2,0
"ARRB1__cysteine",1,0
"ARRDC1.AS1__porphobilinogen",11,0
"ARSA__X.4238",0,1
"ARSF__porphobilinogen",1,0
"ARSK__succinate",1,0
"ART1__guanine",1,0
"ASAP1__guanosine",1,0
"ASAP1.IT1__porphobilinogen",12,0
"ASB13__L.alpha.glycerophosphorylcholine",1,0
"ASB4__succinate",1,0
"ASB7__porphobilinogen",1,0
"ASCC2__cysteine",1,0
"ASIC3__L.alpha.glycerophosphorylcholine",1,0
"ASMTL__sn.Glycerol.3.phosphate",1,0
"ASNS__guanine",1,0
"ASNSD1__X.4238",0,1
"ASTN1__porphobilinogen",1,0
"ASTN2__Kynurenic.acid",1,0
"ASXL1__porphobilinogen",6,0
"ATF3__L.alpha.glycerophosphorylcholine",2,0
"ATF4__L.alpha.glycerophosphorylcholine",1,0
"ATG12__porphobilinogen",1,0
"ATG13__porphobilinogen",7,0
"ATG4B__n.dodecanoate",17,0
"ATG4D__citric.acid",1,0
"ATG7__sn.Glycerol.3.phosphate",1,0
"ATG9A__porphobilinogen",8,0
"ATP10B__porphobilinogen",1,0
"ATP12A__X2..deoxyuridine.5..triphosphate",0,1
"ATP13A2__homogentisate",19,0
"ATP13A4__creatinine",5,0
"ATP2A1.AS1__L.alpha.glycerophosphorylcholine",3,0
"ATP2A3__porphobilinogen",1,0
"ATP2B3__gamma.L.glutamyl.L.glutamine",1,0
"ATP2C1__citric.acid",1,0
"ATP4A__porphobilinogen",10,0
"ATP5C1__picolinic.acid",1,0
"ATP5G1__porphobilinogen",13,0
"ATP5I__cysteine",1,0
"ATP5I__porphobilinogen",6,0
