Analyte.Pathway,Outcome,Study,Analyte.Type,Paper,Measured.in.Datasets,,,"Supplementary Table 5. The compiled list of literature-supported pathways, gene sets, and compound classes for the asthma data."
MARCH3,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
1-docosapentaenoylglycerophosphocholine (22:5),Asthma case/control,"Project Viva (Massachusetts), VDAART",Metabolite,29808611,No,,,
1-methylnicotinamide,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896,Yes,,,
2-hydroxyglutarate,BDR,"CAMP, GACRS",Metabolite,31500319,No,,,
3-Hydroxyisobutyric acid,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896,No,,,
"3-Methyl-2-oxovaleric acid	","Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896,No,,,
3-Phenylpropionate,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896,No,,,
"5,6-dihydrothymine",Asthma case/control,"Project Viva (Massachusetts), VDAART",Metabolite,29808611,No,,,
Acetic acid,"Allergic sensitization to IgE (egg white, cow's milk, or inhalent)","In-house data set (China, ages 3-5)",Metabolite,32213896,No,,,
ACTIVATION OF THE API FAMILY OF TRANSCRIPTION FACTORS,"Self-reported asthma control (optimal, suboptimal)",BRIDGE,Pathway,25586491,No,,,
Activation of TRKA receptors,"Self-reported asthma control (optimal, suboptimal)",BRIDGE,Pathway,25586491,Yes,,,
ADAM18,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
adaptive immune system,Lung function,"CAMP, GACRS",Pathway,29908154,Yes,,,
ADCY2,ER visit or hospitalization during clinical trial period,CAMP,Gene,21718536,Yes,,,
ADRB2,Lung function; BDR,Various,Gene,31494234; 31004501,Yes,,,
AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL,"Self-reported asthma control (optimal, suboptimal)",BRIDGE,Pathway,25586491,Yes,,,
ALOX5,Leukotriene modifier response,Various,Gene,31494234; 31004501,No,,,
Amino acid metabolism,Lung function,"CAMP, GACRS",Pathway,29908154,Yes,,,
Amino acids,Asthma case/control,VDAART,Metabolite class,30360515,Yes,,,
