Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
DNA_Double-Strand_Break_Repair_by_Homologous_Recombination,4.95E+00,4.29E-01,NaN,"ABL1,BRCA1,LIG1,POLA1,RAD52,RPA1"
Regulation_of_the_Epithelial_Mesenchymal_Transition_in_Development_Pathway,4.23E+00,1.49E-01,0,"BRCA1,DVL2,FZD1,FZD9,GLI3,HNF1A,MAML1,NCSTN,PYGO2,TCF7L1,WNT1,WNT10B,WNT7B"
Basal_Cell_Carcinoma_Signaling,3.76E+00,1.53E-01,-0.302,"DVL2,FZD1,FZD9,GLI3,HNF1A,KIF7,STK36,TCF7L1,WNT1,WNT10B,WNT7B"
Spliceosomal_Cycle,3.53E+00,1.70E-01,-3,"CTNNBL1,PPIE,RBM8A,RBMX2,SF1,SF3A2,SF3A3,U2AF2,XAB2"
MicroRNA_Biogenesis_Signaling_Pathway,3.09E+00,9.63E-02,-2.828,"AAAS,ABL1,AGO3,BRCA1,EWSR1,EXOSC10,FUS,HNRNPA2B1,HNRNPD,IFNA8,ILF3,KHSRP,NUP107,NUP188,NUP214,NUP62,POLR2H,SF3A2"
Cell_Cycle_Control_of_Chromosomal_Replication,2.69E+00,1.43E-01,-2.828,"CDK11A,CDK11B,CDK13,CDK4,LIG1,MCM8,POLA1,RPA1"
PCP_(Planar_Cell_Polarity)_Pathway,2.49E+00,1.33E-01,0.707,"DVL2,FZD1,FZD9,PFN4,RSPO3,WNT1,WNT10B,WNT7B"
"NER_(Nucleotide_Excision_Repair,_Enhanced_Pathway)",2.39E+00,1.11E-01,-2.333,"GTF2H4,HMGN1,LIG1,POLA1,POLD2,POLR2H,RPA1,SLC19A1,UVSSA,XAB2"
Role_of_WNT/GSK-3β_Signaling_in_the_Pathogenesis_of_Influenza,2.31E+00,1.15E-01,0.816,"DVL2,FZD1,FZD9,HNF1A,IFNA8,TCF7L1,WNT1,WNT10B,WNT7B"
Leucine_Degradation_I,2.31E+00,3.33E-01,NaN,"BCAT2,HMGCL,MCCC2"
Uridine-5'-phosphate_Biosynthesis,2.30E+00,6.67E-01,NaN,"CAD,DHODH"
DNA_Methylation_and_Transcriptional_Repression_Signaling,2.13E+00,1.02E-01,-2.121,"CDK11A,CDK11B,CDK13,CDK4,CHD4,MTA2,RBBP7,RBL1,TCF24,TEAD1"
Taurine_Biosynthesis,2.01E+00,5.00E-01,NaN,"CSAD,FMO3"
IL-15_Production,1.88E+00,8.94E-02,-1.508,"ABL1,CLK2,CLK3,CLK4,FGFR4,IRF3,LTK,PTK6,RET,STYK1,TYK2"
Ovarian_Cancer_Signaling,1.84E+00,8.23E-02,NaN,"ABL1,BRCA1,CDK4,FGF9,FZD1,FZD9,HDAC6,HNF1A,RBL1,TCF7L1,WNT1,WNT10B,WNT7B"
Cleavage_and_Polyadenylation_of_Pre-mRNA,1.83E+00,2.31E-01,NaN,"CPSF1,CSTF1,WDR33"
Role_of_BRCA1_in_DNA_Damage_Response,1.75E+00,1.00E-01,-2.236,"ATRIP,BRCA1,FANCF,POU2F1,RBL1,RPA1,SLC19A1,SMARCE1"
Transcriptional_Regulatory_Network_in_Embryonic_Stem_Cells,1.72E+00,7.93E-02,-1.387,"FGFR4,FZD1,FZD9,GJD2,HESX1,REST,SETDB1,SOX2,TCF7L1,TYK2,WNT1,WNT10B,WNT7B"
Arginine_Degradation_VI_(Arginase_2_Pathway),1.64E+00,3.33E-01,NaN,"ARG2,PYCR2"
Adipogenesis_pathway,1.52E+00,7.91E-02,0.302,"DLK1,FGFR4,FZD1,FZD9,GTF2H4,HDAC6,KAT2A,RBBP7,SETDB1,TXNIP,WNT10B"
1D-myo-inositol_Hexakisphosphate_Biosynthesis_II_(Mammalian),1.51E+00,1.76E-01,NaN,"INPP5B,INPPL1,ITPKA"
"D-myo-inositol_(1,3,4)-trisphosphate_Biosynthesis",1.51E+00,1.76E-01,NaN,"INPP5B,INPPL1,ITPKA"
Regulation_of_the_Epithelial-Mesenchymal_Transition_Pathway,1.48E+00,7.18E-02,NaN,"DVL2,FGF9,FGFR4,FZD1,FZD9,HNF1A,MAML1,NCSTN,PYGO2,TCF7L1,TYK2,WNT1,WNT10B,WNT7B"
Mismatch_Repair_in_Eukaryotes,1.44E+00,1.67E-01,NaN,"LIG1,RPA1,SLC19A1"
Valine_Degradation_I,1.32E+00,1.50E-01,NaN,"BCAT2,BCKDHA,SDS"
"Superpathway_of_D-myo-inositol_(1,4,5)-trisphosphate_Metabolism",1.22E+00,1.36E-01,NaN,"INPP5B,INPPL1,ITPKA"
Neuroprotective_Role_of_THOP1_in_Alzheimer's_Disease,1.19E+00,7.44E-02,1.89,"CTSG,F7,GNRH1,PDYN,PNOC,PRSS1,PRTN3,TAC1,TPSAB1/TPSB2"
HOTAIR_Regulatory_Pathway,1.11E+00,6.75E-02,0.302,"AGO3,HNF1A,MMP17,RBBP7,RBM38,REST,SETDB1,TCF7L1,WNT1,WNT10B,WNT7B"
CDX_Gastrointestinal_Cancer_Signaling_Pathway,1.11E+00,6.44E-02,-0.832,"FZD1,FZD9,HNF1A,IL4,NOX1,PNN,SOX2,TCF7L1,TNFSF9,TYK2,WNT1,WNT10B,WNT7B"
GDP-L-fucose_Biosynthesis_II_(from_L-fucose),1.09E+00,5.00E-01,NaN,FPGT
CSDE1_Signaling_Pathway,1.09E+00,8.93E-02,-2,"AGO3,CDK11A,CDK11B,FUS,HNRNPD"
S100_Family_Signaling_Pathway,1.07E+00,5.19E-02,2.214,"ADRB3,AGER,AVPR1A,CACNA1H,CHRM2,CREB3L4,FFAR4,FGFR4,FZD1,FZD9,GPR150,GPR153,GPR21,GPR22,GPR68,GPR83,GRM7,HNF1A,HRH2,HTR1F,HTR2C,IFNA8,IRF3,KISS1R,MAPK7,MMP17,NOX1,P2RY4,PLCG1,PTH1R,RXFP1,SSTR2,SSTR3,TAS1R2,TCF7L1,TYK2,VIPR1,WNT1,WNT10B,WNT7B"
