Ingenuity_Canonical_Pathways,_-log(p-value),Ratio,z-score,Molecules
STAT3_Pathway,7.41E+00,1.63E-01,-1.265,"BCL2,FGFR4,HGF,IFNLR1,IL12RB1,IL12RB2,IL13RA1,IL13RA2,IL17RA,IL1RL2,IL20RB,IL21R,IL27RA,IL2RB,IL3RA,IL7R,MAPK12,PDGFB,PIM1,SOCS3,TGFB2,TNFRSF11A"
G-Protein_Coupled_Receptor_Signaling,7.30E+00,8.68E-02,-4.817,"ADCY9,ADRA1B,ADRA2A,AVPR1A,BDKRB2,C3AR1,CCR9,CNR1,CREB3L1,DUSP4,ENPP1,FFAR4,FPR1,FZD3,FZD7,GALR3,GLP2R,GNA14,GNB3,GPR132,GPR149,GPR183,GPR3,GPR52,GPR55,GPR68,GRPR,HCRTR2,HRH1,HRH2,HTR1D,HTR4,HTR6,HTR7,JUN,KCNQ3,LATS2,MAPK12,MC3R,MEF2A,MEF2C,MTNR1B,NFATC2,NPFFR2,NPY1R,NPY5R,PAK1,PDE1B,PDE6B,PDE6C,PDE9A,PIK3CD,PPP3R2,PREX1,PTGER3,PTGER4,RGS16,RGS4,RXFP3,S1PR3,VN1R1"
Cardiac_Hypertrophy_Signaling_(Enhanced),7.29E+00,9.41E-02,-3.92,"ADCY9,ADRA1B,ADRA2A,CACNA2D4,CACNB2,ENPP1,FGF13,FGF17,FGF5,FGFR4,FZD3,FZD7,GNA14,GNB3,HDAC10,IFNLR1,IL12A,IL12RB1,IL12RB2,IL13RA1,IL13RA2,IL17RA,IL1RL2,IL20RB,IL21R,IL27RA,IL2RB,IL36B,IL3RA,IL7R,ITGA5,ITGA9,ITGB7,ITPR1,JUN,MAPK12,MEF2A,MEF2C,NFATC2,PDE1B,PDE6B,PDE6C,PDE9A,PIK3CD,PPP3R2,PRKCD,PRKG1,TGFB2,TNFSF13,WNT2,WNT2B"
CREB_Signaling_in_Neurons,6.87E+00,8.90E-02,-6.223,"ADCY9,ADRA1B,ADRA2A,AVPR1A,BDKRB2,C3AR1,CACNA2D4,CACNB2,CATSPER3,CCR9,CNR1,CREB3L1,FFAR4,FGFR4,FPR1,FZD3,FZD7,GALR3,GLP2R,GNA14,GNB3,GPR132,GPR149,GPR183,GPR3,GPR52,GPR55,GPR68,GRIA1,GRPR,HCRTR2,HGF,HRH1,HRH2,HTR1D,HTR4,HTR6,HTR7,ITPR1,MC3R,MTNR1B,NPFFR2,NPY1R,NPY5R,PDGFB,PIK3CD,PRKCD,PTGER3,PTGER4,RXFP3,S1PR3,TGFB2,TNFRSF11A,VN1R1"
Th1_Pathway,6.84E+00,1.64E-01,-3.441,"CD8A,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,ICOS,IFNGR1,IFNGR2,IL12A,IL12RB1,IL12RB2,IL27RA,JAK1,JAK3,NFATC2,NFIL3,PIK3CD,SOCS3"
Breast_Cancer_Regulation_by_Stathmin1,6.43E+00,8.75E-02,-5.374,"ADRA1B,ADRA2A,ARHGEF3,AVPR1A,BDKRB2,C3AR1,CCND3,CCR9,CNR1,CREB3L1,FFAR4,FPR1,FZD3,FZD7,GALR3,GLP2R,GNB3,GPR132,GPR149,GPR183,GPR3,GPR52,GPR55,GPR68,GRPR,HCRTR2,HGF,HRH1,HRH2,HTR1D,HTR4,HTR6,HTR7,JUN,MC3R,MTNR1B,NPFFR2,NPY1R,NPY5R,PAK1,PDGFB,PIK3CD,PRKCD,PROK1,PTGER3,PTGER4,RPS6KA3,RXFP3,S1PR3,TGFB2,TUBB2A,VN1R1"
S100_Family_Signaling_Pathway,6.25E+00,8.04E-02,-5.588,"ADRA1B,ADRA2A,ANXA1,AVPR1A,BCL2,BDKRB2,C3AR1,CACNA2D4,CACNB2,CATSPER3,CCR9,CNR1,CREB3L1,FFAR4,FGFR4,FPR1,FZD3,FZD7,GALR3,GLP2R,GPR132,GPR149,GPR183,GPR3,GPR52,GPR55,GPR68,GRPR,HCRTR2,HRH1,HRH2,HTR1D,HTR4,HTR6,HTR7,IRAK2,ITPR1,JAK1,JUN,MAPK12,MAPK4,MC3R,MMP23B,MTNR1B,NPFFR2,NPY1R,NPY5R,PIK3CD,PLA2G2A,PRKCD,PROK1,PTGER3,PTGER4,RXFP3,S1PR3,SERPINF1,TGFB2,TPM3,VDR,VN1R1,WNT2,WNT2B"
Th1_and_Th2_Activation_Pathway,6.11E+00,1.34E-01,NaN,"CD8A,HLA-DOA,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB5,ICAM1,ICOS,IFNGR1,IFNGR2,IL12A,IL12RB1,IL12RB2,IL27RA,IL2RB,JAK1,JAK3,JUN,NFATC2,NFIL3,PIK3CD,SOCS3,STAT6"
Phagosome_Formation,5.73E+00,8.06E-02,-6.147,"ADRA1B,ADRA2A,AVPR1A,BDKRB2,C3AR1,CCR9,CNR1,ELMO3,FFAR4,FPR1,FZD3,FZD7,GALR3,GLP2R,GPR132,GPR149,GPR183,GPR3,GPR52,GPR55,GPR68,GRPR,HCRTR2,HRH1,HRH2,HTR1D,HTR4,HTR6,HTR7,ITGA5,ITGA9,ITGB7,ITPR1,LYN,MAPK12,MAPK4,MC3R,MSR1,MTNR1B,MYH3,NPFFR2,NPY1R,NPY5R,OCRL,PAK1,PIK3CD,PLA2G2A,PRKCD,PTGER3,PTGER4,RXFP3,S1PR3,SCARA3,TLN2,TLR2,VN1R1"
IL-12_Signaling_and_Production_in_Macrophages,5.24E+00,1.11E-01,-0.392,"ADRA2A,APOB,APOE,CD47,CLU,COL10A1,ETS2,IFNGR1,IL12A,IL12RB1,IL12RB2,JUN,MAPK12,MST1,NFATC2,NFIL3,PCYOX1,PIK3CD,PRKCD,PRLR,SOCS3,STAT6,TGFB2,TLR2,TNFRSF11A,VDR"
