"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"LANCL3__V__AM98","LANCL3","AM98",-0.32753019076297,4.7037086200055e-09,1.44991553417428e-05,0.101504068107513
"COPG2IT1__V__AM98","COPG2IT1","AM98",-0.318212713436926,4.48755373607233e-09,1.4008503103285e-05,0.104560516750592
"COLEC10__V__AM98","COLEC10","AM98",-0.302517309307659,5.44264360600736e-09,1.59601257603904e-05,0.100287659652002
"IGSF5__V__TF28.1","IGSF5","TF28.1",-0.280027188340563,0.00153144860955948,0.0454525132009037,0.107217314603362
"CXCL5__V__AM98","CXCL5","AM98",-0.271851300213193,2.07757052641008e-09,8.37952756496529e-06,0.100186287369012
"FLJ12529__V__QI11173","FLJ12529","QI11173",-0.258529423735415,0.000513935182669686,0.0245428737479531,0.130225417820662
"LOC647147__V__TF28.1","LOC647147","TF28.1",-0.253628285926465,0.0017610678008483,0.0491182268945059,0.106716032882529
"LOC150383__V__QI11173","LOC150383","QI11173",-0.252750826306556,0.000587102003927388,0.0264889016047848,0.129836904663336
"CASK__V__TF24.1","CASK","TF24.1",-0.252657914516003,9.97291039082934e-05,0.0095065083052813,0.100738394943363
"PADI3__V__QI11173","PADI3","QI11173",-0.250976901026975,0.000999736117440982,0.0358040666717215,0.128456212311067
"DKFZp451M2119__V__QI11173","DKFZp451M2119","QI11173",-0.250126231555285,0.000534718050374321,0.0251101096781727,0.130134144802405
"GPATCH2__V__TF24.1","GPATCH2","TF24.1",-0.25007537973961,9.92687262813137e-05,0.00948115465404317,0.100571101146042
"RNU105B__V__QI6449","RNU105B","QI6449",-0.245505084949824,1.12376528986582e-05,0.00253494984918054,0.103126032274449
"KRTAP7.1__V__QI11173","KRTAP7.1","QI11173",-0.243594902583998,0.000849688859121116,0.0326593907482931,0.128787085337035
"UBE2D3__V__QI11173","UBE2D3","QI11173",-0.243179923985678,0.000722453939886567,0.0298056798931548,0.129388356988284
"TNFSF12.TNFSF13__V__QI11173","TNFSF12.TNFSF13","QI11173",-0.242386919863991,0.00074255213996239,0.0302723002643678,0.129217846770159
"GALNT5__V__QI11173","GALNT5","QI11173",-0.239266767604321,0.000817002822247075,0.0319454339834064,0.128766453865032
"OSR1__V__QI11173","OSR1","QI11173",-0.238457196491901,0.0012789512762225,0.0410997735339175,0.127769747290828
"LOC100128346__V__QI6449","LOC100128346","QI6449",-0.235649585156858,3.56709122362972e-05,0.00513823732332545,0.100052907748634
"LOC100132628__V__QI11173","LOC100132628","QI11173",-0.234187129304616,0.00126077852596731,0.0407765221050846,0.127622061971678
"AXL__V__QI11173","AXL","QI11173",-0.234036576350885,0.000329868592297701,0.0190595474690964,0.131386569367551
"SRC__V__QI11173","SRC","QI11173",-0.232208434679161,0.00178193633808809,0.0494343639028379,0.126857697544704
"KIF7__V__QI10610","KIF7","QI10610",-0.230479187231987,0.000463578660069085,0.0231564193683595,0.15099087902785
"KRT35__V__QI11173","KRT35","QI11173",-0.229108885153432,0.000756901328104922,0.0306003126988532,0.129010634827393
"EDA__V__QI14746","EDA","QI14746",-0.226989418121829,0.000130903347052068,0.0111547426845577,0.103277651939946
"SNORD14B__V__QI10610","SNORD14B","QI10610",-0.224346501366239,0.000586546179706911,0.0264753311800659,0.150288144531287
"LOC54103__V__TF24.1","LOC54103","TF24.1",-0.223623656238255,6.43716963765047e-05,0.00732818385296851,0.101978602606285
"DKFZp451M2119__V__QI10610","DKFZp451M2119","QI10610",-0.223151292021195,0.000488049329859019,0.0238340140858855,0.15077636535349
"DMP1__V__QI11173","DMP1","QI11173",-0.222911436758001,0.00101776312392043,0.0361704428616789,0.12804021157906
"PIGO__V__TF28.1","PIGO","TF28.1",-0.22245230291882,0.00170844187568682,0.0482912076465386,0.106726057493605
"LOC644544__V__AM86","LOC644544","AM86",-0.22074654123776,3.21292852459019e-06,0.00114829850725911,0.10159550046061
"CD59__V__QI11173","CD59","QI11173",-0.219714344856517,0.00106549755159952,0.0371134449029013,0.128030578383999
"SMOC1__V__QI11173","SMOC1","QI11173",-0.218472131207624,0.00178216198923458,0.0494381483589519,0.126604365664036
"LOC100128371__V__QI11173","LOC100128371","QI11173",-0.218314549385239,0.00109653194406453,0.0377085573825144,0.127819345588345
"LOC645278__V__QI14746","LOC645278","QI14746",-0.218201460164709,8.98623559025227e-05,0.00894257679175791,0.10442246430959
"OSR1__V__QI10610","OSR1","QI10610",-0.217907262725538,0.000891650716780567,0.0335649619344783,0.149079256813404
