"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"ARL17P1__V__AM10","ARL17P1","AM10",-1.93546747263638,1.77301831430133e-08,0.0011999138508528,0.167436779601836
"GAPDHL6__V__AM10","GAPDHL6","AM10",-1.8844477977782,4.960855116451e-06,0.016494724135952,0.14074952857621
"CD38__V__AM10","CD38","AM10",-1.66739079087252,1.75934771804168e-08,0.0011999138508528,0.164797629647817
"CAMK1G__V__AM10","CAMK1G","AM10",-1.62779198331978,7.63716447922513e-08,0.00225952760558937,0.155287395315214
"LOC100130604__V__AM10","LOC100130604","AM10",-1.42019994897576,3.64737469047082e-05,0.0414825215025243,0.114085980294382
"FICD__V__AM10","FICD","AM10",-1.39768998059887,2.31997125144838e-05,0.0336947081280254,0.117140154395924
"PACAP__V__AM10","PACAP","AM10",-1.39754298735423,1.24988760309466e-05,0.0253863278085791,0.121118152567499
"LOC730202__V__AM10","LOC730202","AM10",-1.3650162646073,2.09323394976943e-05,0.0321714992405061,0.119708769923696
"MGC29506__V__AM10","MGC29506","AM10",-1.20527154237066,2.04659759996647e-08,0.00129372152927766,0.161232948003195
"TRIM32__V__AM101","TRIM32","AM101",-0.725267656464824,1.09345684349307e-07,0.00257147425942273,0.100757091339283
"FTSJ1__V__AM101","FTSJ1","AM101",-0.612820016896484,1.38441564627721e-08,0.00103585143033081,0.111996598534631
"UBE3C__V__AM101","UBE3C","AM101",-0.56310448863936,3.29257092755004e-08,0.00155528523903692,0.107483436039336
"RBM16__V__AM101","RBM16","AM101",-0.547354327910893,9.02732989772212e-08,0.00236644817076451,0.101153276587866
"IFI27__V__AM10","IFI27","AM10",-0.522028233925281,1.39082573663016e-05,0.0266504563931145,0.123139086504905
"LOC285407__V__AM105","LOC285407","AM105",-0.515522165984978,3.88001693069904e-07,0.0046450774341601,0.119881569513224
"FTSJ1__V__AM107","FTSJ1","AM107",-0.512804938087137,1.2324196159536e-06,0.0084690273089493,0.103552092718707
"TTL__V__AM105","TTL","AM105",-0.50345198065928,1.42655909389128e-06,0.00910698693690664,0.109411140347334
"ZBTB32__V__AM67","ZBTB32","AM67",-0.480185327221257,8.3229104480184e-06,0.021214771169294,0.102703862971428
"GLOD4__V__AM107","GLOD4","AM107",-0.474025694491019,2.91153344731758e-07,0.00403526069210161,0.111836192781096
"SOX9__V__AM96","SOX9","AM96",-0.473957001596915,7.0812794779467e-07,0.00621192264481038,0.122647501768411
"TSPYL1__V__AM107","TSPYL1","AM107",-0.442536477059839,8.10605363042564e-07,0.00672916568823769,0.105822086760671
"C13orf23__V__AM107","C13orf23","AM107",-0.439367003797714,1.09715917408187e-07,0.00257147425942273,0.119679745662281
"GART__V__AM105","GART","AM105",-0.437098109428145,6.15239986483819e-07,0.00578113852597413,0.115165626066187
"ACAD11__V__AM107","ACAD11","AM107",-0.435291434760444,2.02016363543326e-06,0.0107186652206474,0.100672173054043
"GNG3__V__AM40","GNG3","AM40",-0.432374312348959,3.89152634712087e-06,0.0146679713046435,0.100690995352995
"NCOA1__V__AM87","NCOA1","AM87",-0.430446178165035,5.92878552086648e-07,0.00569995616545408,0.10491463776924
"CR2__V__AM105","CR2","AM105",-0.426202112600969,3.20420045041143e-09,0.000499812805648091,0.160143148126053
"ZNF746__V__AM87","ZNF746","AM87",-0.419946809519802,1.45281831607553e-07,0.00285724746977757,0.113524494079492
"CDCA3__V__AM96","CDCA3","AM96",-0.419424721150938,1.24240584139215e-07,0.00274614730621583,0.128410401478169
"LARS__V__AM105","LARS","AM105",-0.41726208112421,2.63761774569105e-06,0.0122112862260875,0.106160680564001
"MELK__V__AM105","MELK","AM105",-0.413864972442497,2.65639093098711e-06,0.0122340392961968,0.113161545929194
"QRFP__V__AM96","QRFP","AM96",-0.412978549481633,1.91051048936262e-06,0.0104898589940438,0.115145335398906
"LOC653040__V__QI7372","LOC653040","QI7372",-0.411648016228048,1.12963317062404e-07,0.0026019119447433,0.138401863142891
"TMSB10__V__AM105","TMSB10","AM105",-0.408526897834074,9.43744642862303e-07,0.00729699238821613,0.111104154359206
"LOC285407__V__AM96","LOC285407","AM96",-0.40218935612828,3.73753989871991e-08,0.00161956315775039,0.135354836854609
"CCDC16__V__AM107","CCDC16","AM107",-0.392401741682601,8.30333689774221e-07,0.00679519143783417,0.106177189855601
"CENTG2__V__AM87","CENTG2","AM87",-0.389299291595032,2.08870581237734e-06,0.0108782363310647,0.10413950315605
"CDCA7__V__AM67","CDCA7","AM67",-0.38497193690726,1.70265224086355e-05,0.0291465266517978,0.100686783566028
"TSHZ2__V__AM87","TSHZ2","AM87",-0.38371786612741,2.63376019039129e-06,0.0122112862260875,0.106445593943593
"POMP__V__AM96","POMP","AM96",-0.381147974317457,8.84034745056533e-12,2.88062178945712e-05,0.181114447613925
"OR7G3__V__AM96","OR7G3","AM96",-0.378535668177994,1.86371905306688e-06,0.0103508911185967,0.11502419969461
"C10orf78__V__QI13143","C10orf78","QI13143",-0.37800370564594,2.34964804316503e-05,0.0338816997742479,0.128817414207624
"ZC3H14__V__AM45","ZC3H14","AM45",-0.37714815578566,4.31822850861791e-07,0.00489767803145714,0.114932579706465
"MRPS17__V__QI18460","MRPS17","QI18460",-0.37277319274676,9.86953469831098e-08,0.00246561474887959,0.160622139273116
"LOC100129426__V__AM105","LOC100129426","AM105",-0.371766351606415,3.43856878926252e-06,0.0138564086370238,0.112781716093406
"TMSB10__V__AM96","TMSB10","AM96",-0.37119582066208,3.47859142124782e-10,0.000139681539846076,0.165374007605959
"LOC642650__V__AM96","LOC642650","AM96",-0.370178095536187,3.7051290597588e-05,0.0417727351371034,0.101947597493535
"AGT__V__AM96","AGT","AM96",-0.362698524645332,3.29191493362036e-05,0.0394844216385283,0.101033051216472
"MRPS17__V__AM40","MRPS17","AM40",-0.361535076053703,4.8285646670991e-07,0.00518882814121022,0.113822586736141
"TOX2__V__AM105","TOX2","AM105",-0.359192393880131,2.02144257081957e-06,0.0107186652206474,0.11440788008716
"DOCK10__V__AM107","DOCK10","AM107",-0.357966827124091,1.63310773873355e-06,0.0096905184772114,0.101789332192493
"GNG3__V__AM96","GNG3","AM96",-0.357651950157251,2.44646119609824e-05,0.0345093143756026,0.102801178713603
"MRPL51__V__QI18460","MRPL51","QI18460",-0.357400935620084,3.93092868113241e-10,0.000147979662791404,0.19289944919798
"RELT__V__QI5113","RELT","QI5113",-0.356858591507725,2.56904112748956e-06,0.0120606649297337,0.115385445797471
"CCR9__V__AM67","CCR9","AM67",-0.350544700950847,1.76099384083595e-05,0.0295233628669471,0.109717536146204
"YARS2__V__AM96","YARS2","AM96",-0.348009429756426,5.37345547554389e-07,0.0054433172422254,0.122801350116883
"OR3A1__V__AM96","OR3A1","AM96",-0.346139168070408,2.58077493829585e-05,0.0353645141049944,0.103121263070355
"LOC645246__V__QI7372","LOC645246","QI7372",-0.344738129162308,1.56410968353699e-06,0.00955954952939816,0.124952218247334
"WDR63__V__AM35","WDR63","AM35",-0.344144710013095,2.41848264362107e-05,0.0343682674251801,0.11497002762433
"CNTNAP4__V__AM61","CNTNAP4","AM61",-0.343451194446638,5.25721755676277e-07,0.00539022208806752,0.137121225099022
"MRPL51__V__AM96","MRPL51","AM96",-0.342971981503923,9.27473776370359e-11,7.51510744507595e-05,0.168081210295258
"CR2__V__AM96","CR2","AM96",-0.342719279383176,4.39655980060429e-11,6.74527584840163e-05,0.173516646316957
"TMSB10__V__QI18460","TMSB10","QI18460",-0.342482234184626,1.30820858131047e-07,0.00278088344945778,0.150314317736955
"TMSB10__V__AM40","TMSB10","AM40",-0.342300021675753,2.37683440100532e-07,0.00369448637500098,0.1163707388443
