pathwayName,pathwayId,pathwaySource,Pval,Num_In_Path,Total_In_Path,Pval_FDR,Pval_Holm,analytes,,,,,
Histidine metabolism,map00340,kegg,0.999610249,2,35,1,1,Glutamate; L-Glutamic acid;Histidine; L-Histidine,,,,,
beta-Alanine metabolism,map00410,kegg,0.993380986,3,29,1,1,Glutamate; L-Glutamic acid;Histidine; L-Histidine;Pantothenic acid,,,,,
"Glycine, serine and threonine metabolism",map00260,kegg,0.999497789,6,56,1,1,Creatine;Glycine;Guanidoacetic acid;Glutamate; L-Glutamic acid;L-Serine; Serine;Ornithine,,,,,
Methionine Metabolism,map00270,kegg,0.999982406,3,51,1,1,Glycine;Glutamate; L-Glutamic acid;L-Serine; Serine,,,,,
Tyrosine metabolism,map00350,kegg,0.999862599,2,69,1,1,Glutamate; L-Glutamic acid;L-Tyrosine,,,,,
Starch and sucrose metabolism,map00500,kegg,0.999999918,3,53,1,1,"L-Serine; Serine;SM(d18:1/18:0); Sphingomyelin;PC(14:0_20:0); PC(20:0/18:2(9Z,12Z))",,,,,
Arginine and proline metabolism,map00330,kegg,0.999870183,7,50,1,1,Creatine;Glycine;Guanidoacetic acid;Glutamate; L-Glutamic acid;L-Proline;Ornithine;Citrulline,,,,,
Phenylalanine and Tyrosine Metabolism,map00360,kegg,0.994229527,2,28,1,1,Glutamate; L-Glutamic acid;L-Tyrosine,,,,,
Tryptophan metabolism,map00380,kegg,0.999894668,2,54,1,1,Glutamate; L-Glutamic acid;Indoleacetic acid,,,,,
"Alanine, aspartate and glutamate metabolism",map00250,kegg,0.999964299,4,60,1,1,Glycine;Glutamate; L-Glutamic acid;L-Asparagine;Citrulline,,,,,
Nitrogen metabolism,map00910,kegg,0.699400327,5,25,1,1,Glycine;Glutamate; L-Glutamic acid;L-Asparagine;Histidine; L-Histidine;L-Serine; Serine,,,,,
Purine metabolism,map00230,kegg,1,3,68,1,1,Glycine;Glutamate; L-Glutamic acid;Uric acid,,,,,
Primary bile acid biosynthesis,map00120,kegg,0.924051497,5,60,1,1,"Glycine;Chenodeoxycholic acid glycine conjugate; GCDCA;Tauroursodeoxycholic acid;Taurodeoxycholate; Taurodeoxycholic acid;2-[(3a,7a-dihydroxy-24-oxo-5beta-cholan-24-yl)amino]ethanesulfonate; Taurochenodesoxycholic acid; TCDCA;CE(20:4(5Z,8Z,11Z,14Z));CE(22:4(7Z,10Z,13Z,16Z));CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z));CE(18:0);CE(18:3(9Z,12Z,15Z))",,,,,
Amino Sugar Metabolism,map00520,kegg,0.999993414,2,35,1,1,Glutamate; L-Glutamic acid;bGalNAc; N-Acetyl-b-D-galactosamine,,,,,
Glutathione metabolism,map00480,kegg,0.999998873,2,18,1,1,Glycine;Glutamate; L-Glutamic acid,,,,,
Phospholipid Biosynthesis,map00564,kegg,0.999999969,3,25,1,1,"DAG; DG(16:0/16:0/0:0); DG(16:0_16:0);DG(16:0/16:1(9Z)/0:0); DG(16:0_16:0);DG(16:0/18:0/0:0); DG(16:0_16:0);DG(16:0/18:2(9Z,12Z)/0:0); DG(16:0_16:0);DG(16:0_16:0); DG(16:1(9Z)/18:2(9Z,12Z)/0:0);PC(14:0_20:0); PC(20:0/18:2(9Z,12Z));1-hexadecanoyl-sn-glycero-3-phosphocholine; LPC(14:1); LysoPC(16:0/0:0);LPC(14:1); LysoPC(16:1(9Z)/0:0);LPC(14:1); LysoPC(18:3(6Z,9Z,12Z)/0:0);LPC(14:1); LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0);LPC(14:1); LysoPC(24:0/0:0)",,,,,
Arachidonic Acid Metabolism,map00590,kegg,0.999999668,2,64,1,1,Glutamate; L-Glutamic acid;LPC(14:0); LysoPC(14:0/0:0),,,,,
Caffeine Metabolism,map00232,kegg,0.752430673,2,19,1,1,Theophylline;5-Acetylamino-6-amino-3-methyluracil,,,,,
