"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
Sample,Method,Chromosome,Promoter Precision,Promoter Recall,Enhancer Precision,Enhancer Recall,Weak Precision,Weak Recall
A549,SOM-VN,1,0.16,0.87,0.23,0.04,0.93,0.67
,,2,0.13,0.84,0.27,0.05,0.94,0.71
,,3,0.12,0.89,0.19,0.04,0.97,0.71
,,4,0.21,0.81,0.18,0.06,0.97,0.72
,,5,0.12,0.88,0.27,0.06,0.96,0.73
,,6,0.15,0.89,0.21,0.05,0.96,0.72
,,7,0.15,0.85,0.24,0.05,0.95,0.72
,,8,0.14,0.85,0.24,0.04,0.95,0.73
,,9,0.15,0.87,0.35,0.06,0.94,0.67
,,10,0.16,0.86,0.29,0.05,0.93,0.71
,,11,0.18,0.89,0.31,0.05,0.94,0.71
,,12,0.18,0.86,0.27,0.04,0.88,0.67
,,13,0.19,0.78,0.13,0.05,0.96,0.7
,,14,0.18,0.87,0.29,0.05,0.93,0.71
,,15,0.17,0.9,0.33,0.05,0.9,0.63
,,16,0.22,0.89,0.34,0.05,0.9,0.67
,,17,0.24,0.88,0.5,0.05,0.62,0.46
,,18,0.1,0.85,0.18,0.04,0.98,0.74
,,19,0.31,0.84,0.46,0.06,0.62,0.38
,,20,0.18,0.83,0.31,0.04,0.81,0.59
,,21,0.31,0.88,0.39,0.06,0.97,0.81
,,22,0.4,0.86,0.41,0.07,0.86,0.68
,,Mean,0.19,0.86,0.29,0.05,0.9,0.67
,,Stdev,0.07,0.03,0.09,0.01,0.1,0.09
,CAGT,1,0.1,0.54,0.2,0.08,0.77,0.51
,,2,0.09,0.51,0.24,0.1,0.82,0.6
,,3,0.08,0.51,0.19,0.12,0.89,0.64
,,4,0.16,0.46,0.11,0.1,0.92,0.77
,,5,0.07,0.46,0.19,0.09,0.85,0.61
,,6,0.09,0.56,0.16,0.09,0.85,0.54
,,7,0.1,0.5,0.21,0.09,0.82,0.59
,,8,0.11,0.57,0.25,0.1,0.82,0.59
,,9,0.11,0.55,0.24,0.11,0.8,0.55
,,10,0.12,0.56,0.31,0.11,0.75,0.55
,,11,0.11,0.56,0.27,0.1,0.75,0.51
,,12,0.12,0.55,0.25,0.08,0.7,0.47
,,13,0.15,0.46,0.1,0.09,0.92,0.76
,,14,0.13,0.58,0.2,0.1,0.81,0.57
,,15,0.12,0.54,0.27,0.09,0.72,0.54
,,16,0.15,0.56,0.3,0.09,0.67,0.49
,,17,0.19,0.64,0.4,0.08,0.52,0.42
,,18,0.07,0.46,0.18,0.11,0.93,0.74
,,19,0.24,0.57,0.38,0.12,0.49,0.37
,,20,0.15,0.57,0.27,0.08,0.65,0.49
,,21,0.25,0.49,0.21,0.11,0.85,0.77
,,22,0.32,0.55,0.26,0.11,0.65,0.58
,,Mean,0.14,0.53,0.24,0.1,0.77,0.58
,,Stdev,0.06,0.05,0.07,0.01,0.12,0.11
,Magnitude,1,0.15,1,N/A,N/A,1,0
,,2,0.13,1,N/A,N/A,0,0
,,3,0.11,1,N/A,N/A,0,0
,,4,0.08,1,N/A,N/A,0,0
,,5,0.11,1,N/A,N/A,0,0
,,6,0.12,1,N/A,N/A,0,0
,,7,0.14,1,N/A,N/A,0,0
,,8,0.13,1,N/A,N/A,0,0
,,9,0.15,1,N/A,N/A,0,0
,,10,0.15,1,N/A,N/A,0,0
,,11,0.14,1,N/A,N/A,0,0
,,12,0.17,1,N/A,N/A,0,0
,,13,0.08,1,N/A,N/A,0,0
,,14,0.15,1,N/A,N/A,0,0
,,15,0.19,1,N/A,N/A,0,0
,,16,0.18,1,N/A,N/A,0,0
,,17,0.26,1,N/A,N/A,0,0
,,18,0.09,1,N/A,N/A,0,0
,,19,0.28,1,N/A,N/A,0,0
,,20,0.21,1,N/A,N/A,0,0
,,21,0.1,1,N/A,N/A,0,0
,,22,0.21,1,N/A,N/A,0,0
,,Mean,0.15,1,N/A,N/A,0.05,0
,,Stdev,0.05,0,N/A,N/A,0.21,0
,SOM-VN (RPKM > 5),1,0.36,0.86,N/A,N/A,0.91,0.82
,,2,0.34,0.87,N/A,N/A,0.92,0.82
,,3,0.3,0.87,N/A,N/A,0.93,0.79
,,4,0.24,0.86,N/A,N/A,0.97,0.8
,,5,0.31,0.86,N/A,N/A,0.92,0.81
,,6,0.34,0.89,N/A,N/A,0.95,0.82
,,7,0.35,0.87,N/A,N/A,0.92,0.83
,,8,0.36,0.85,N/A,N/A,0.91,0.84
,,9,0.36,0.87,N/A,N/A,0.91,0.8
,,10,0.37,0.86,N/A,N/A,0.9,0.83
,,11,0.38,0.89,N/A,N/A,0.91,0.83
,,12,0.39,0.86,N/A,N/A,0.88,0.83
,,13,0.26,0.85,N/A,N/A,0.96,0.81
,,14,0.35,0.87,N/A,N/A,0.91,0.81
,,15,0.39,0.87,N/A,N/A,0.86,0.79
,,16,0.41,0.88,N/A,N/A,0.89,0.82
,,17,0.46,0.86,N/A,N/A,0.72,0.79
,,18,0.29,0.86,N/A,N/A,0.95,0.8
,,19,0.51,0.82,N/A,N/A,0.72,0.75
,,20,0.44,0.87,N/A,N/A,0.83,0.82
,,21,0.3,0.86,N/A,N/A,0.95,0.82
,,22,0.36,0.9,N/A,N/A,0.86,0.72
,,Mean,0.36,0.87,N/A,N/A,0.9,0.81
,,Stdev,0.06,0.02,N/A,N/A,0.07,0.03
,,Difference,0.17,0,N/A,N/A,-0.01,0.13
B-Cell (L),SOM-VN,1,0.69,0.1,0.26,0.25,0.83,0.91
,,2,0.64,0.14,0.28,0.32,0.89,0.92
,,3,0.66,0.16,0.27,0.32,0.9,0.91
,,4,0.54,0.18,0.17,0.31,0.95,0.92
,,5,0.71,0.14,0.24,0.34,0.92,0.92
,,6,0.82,0.11,0.23,0.24,0.87,0.91
,,7,0.73,0.14,0.26,0.32,0.89,0.91
,,8,0.55,0.11,0.26,0.31,0.9,0.92
,,9,0.5,0.21,0.29,0.36,0.9,0.89
,,10,0.67,0.08,0.26,0.28,0.86,0.91
,,11,0.67,0.11,0.25,0.27,0.86,0.91
,,12,0.77,0.09,0.13,0.22,0.82,0.79
,,13,0.53,0.21,0.17,0.27,0.94,0.91
,,14,0.54,0.16,0.27,0.3,0.89,0.9
,,15,0.51,0.16,0.3,0.3,0.87,0.9
,,16,0.77,0.11,0.17,0.24,0.77,0.77
,,17,0.74,0.02,0.19,0.21,0.57,0.75
,,18,0.49,0.22,0.22,0.32,0.94,0.91
,,19,0.81,0.02,0.25,0.16,0.34,0.89
,,20,0.71,0.09,0.31,0.25,0.81,0.91
,,21,0.45,0.16,0.26,0.33,0.91,0.9
,,22,0.42,0.09,0.35,0.24,0.67,0.83
,,Mean,0.63,0.13,0.25,0.28,0.83,0.89
,,Stdev,0.12,0.05,0.05,0.05,0.14,0.05
,CAGT,1,N/A,N/A,0.1,0.19,0.77,0.71
,,2,N/A,N/A,0.07,0.18,0.85,0.73
,,3,N/A,N/A,0.06,0.18,0.85,0.71
,,4,N/A,N/A,0.04,0.18,0.92,0.73
,,5,N/A,N/A,0.05,0.18,0.88,0.73
,,6,N/A,N/A,0.08,0.2,0.82,0.71
,,7,N/A,N/A,0.07,0.19,0.85,0.72
,,8,N/A,N/A,0.06,0.18,0.86,0.72
,,9,N/A,N/A,0.07,0.17,0.85,0.74
,,10,N/A,N/A,0.08,0.19,0.82,0.72
,,11,N/A,N/A,0.09,0.21,0.82,0.72
,,12,N/A,N/A,0.14,0.18,0.82,0.85
,,13,N/A,N/A,0.04,0.2,0.92,0.72
,,14,N/A,N/A,0.1,0.21,0.84,0.73
,,15,N/A,N/A,0.08,0.16,0.82,0.73
,,16,N/A,N/A,0.22,0.18,0.77,0.88
,,17,N/A,N/A,0.38,0.15,0.61,0.94
,,18,N/A,N/A,0.05,0.21,0.91,0.72
,,19,N/A,N/A,0.34,0.07,0.46,0.98
